Hisse Kodu	Şirket Adı	Sektör(ler)
TTKOM	Türk Telekomünikasyon A.Ş.	Haberleşme
PARSN	Parsan Makina Parçaları Sanayii A.Ş.	Otomotiv Yan Sanayi
TNZTP	Tapdi Oksijen Özel Sağlık ve Eğitim Hizmetleri Sanayi Ticaret A.Ş.	İlaç ve Sağlık
TEKTU	Tek-Art İnşaat Ticaret Turizm Sanayi ve Yatırımlar A.Ş.	Turizm
TUKAS	Tukaş Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
SISE	Türkiye Şişe ve Cam Fabrikaları A.Ş.	Kimya ve Plastik, Cam, Seramik, Porselen
IHLGM	İhlas Gayrimenkul Proje Geliştirme ve Ticaret A.Ş.	Gayrimenkul, İnşaat
MARTI	Martı Otel İşletmeleri A.Ş.	Turizm
PRDGS	Pardus Girişim Sermayesi Yatırım Ortaklığı A.Ş	Girişim Sermayesi Yat. Ort.
SEYKM	Seyitler Kimya Sanayi A.Ş.	Kimya ve Plastik, İlaç ve Sağlık
LINK	Link Bilgisayar Sistemleri Yazılımı ve Donanımı Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım
MNDTR	Mondi Turkey Oluklu Mukavva Kağıt ve Ambalaj Sanayi A.Ş.	Kağıt ve Kağıt Ürünleri, Ambalaj
SANFM	Sanifoam Endüstri ve Tüketim Ürünleri Sanayi Ticaret A.Ş.	Kimya ve Plastik
SMART	Smartiks Yazılım A.Ş.	Bilişim ve Yazılım
VAKKO	Vakko Tekstil ve Hazır Giyim Sanayi İşletmeleri A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
IHEVA	İhlas Ev Aletleri İmalat Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, İmalat
ISGSY	İş Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
MAGEN	Margün Enerji Üretim Sanayi ve Ticaret A.Ş.	Enerji Üretim ve Dağıtım
MARKA	Marka Yatırım Holding A.Ş.	Holding
MHRGY	MHR Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
TRHOL	Tera Finansal Yatırımlar Holding A.Ş.	Holding
TEHOL	Tera Yatırım Teknoloji Holding A.Ş.	Holding
RUBNS	Rubenis Tekstil Sanayi Ticaret A.Ş.	Tekstil, Giyim ve Deri
TSPOR	Trabzonspor Sportif Yatırım ve Futbol İşletmeciliği Ticaret A.Ş.	Spor
TSKB	Türkiye Sınai Kalkınma Bankası A.Ş.	Bankacılık
YGGYO	Yeni Gimat Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
MAALT	Marmaris Altınyunus Turistik Tesisler A.Ş.	Turizm
ORMA	Orma Orman Mahsulleri Entegre Sanayi ve Ticaret A.Ş.	Mobilya ve Dekorasyon, İmalat
OYAYO	Oyak Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
VBTYZ	VBT Yazılım A.Ş.	Bilişim ve Yazılım
VESBE	Vestel Beyaz Eşya Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, Metal Eşya ve Makine
ISDMR	İskenderun Demir ve Çelik A.Ş.	Ana Metal, İmalat
TGSAS	TGS Dış Ticaret A.Ş.	Toptan ve Perakende Ticaret
ULUSE	Ulusoy Elektrik İmalat Taahhüt ve Ticaret A.Ş.	İmalat, Metal Eşya ve Makine
VKGYO	Vakıf Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
YAYLA	Yayla Enerji Üretim Turizm ve İnşaat Ticaret A.Ş.	Enerji Üretim ve Dağıtım
IHGZT	İhlas Gazetecilik A.Ş.	Kağıt ve Kağıt Ürünleri
YYLGD	Yayla Agro Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
ZEDUR	Zedur Enerji Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım, Turizm
ZOREN	Zorlu Enerji Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım
INFO	İnfo Yatırım Menkul Değerler A.Ş.	Aracı Kurum
INTEM	İntema İnşaat ve Tesisat Malzemeleri Yatırım ve Pazarlama A.Ş.	Toptan ve Perakende Ticaret
