Hisse Kodu	Şirket Adı	Sektör(ler)
INDES	İndeks Bilgisayar Sistemleri Mühendislik Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
YYAPI	Yeşil Yapı Endüstrisi A.Ş.	İnşaat
YESIL	Yeşil Yatırım Holding A.Ş.	Holding
ZRGYO	Ziraat Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
CANTE	Çan2 Termik A.Ş.	Enerji Üretim ve Dağıtım
ISBTR	Türkiye İş Bankası A.Ş.	Bankacılık
SMRTG	Smart Güneş Enerjisi Teknolojileri Araştırma Geliştirme Üretim Sanayi ve Ticaret A.Ş.	Enerji Teknolojileri
IDGYO	İdealist Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
GOZDE	Gözde Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
KARSN	Karsan Otomotiv Sanayii ve Ticaret A.Ş.	Otomotiv, İmalat
KUVVA	Kuvva Gıda Ticaret ve Sanayi Yatırımları A.Ş.	Gıda ve İçecek
CEMTS	Çemtaş Çelik Makina Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
CCOLA	Coca-Cola İçecek A.Ş.	Gıda ve İçecek
DNISI	Dinamik Isı Makina Yalıtım Malzemeleri Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
ECILC	Eis Eczacıbaşı İlaç, Sınai ve Finansal Yatırımlar Sanayi ve Ticaret A.Ş.	Holding, İlaç ve Sağlık
GARAN	Türkiye Garanti Bankası A.Ş.	Bankacılık
VKFYO	Vakıf Menkul Kıymet Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
YEOTK	YEO Teknoloji Enerji ve Endüstri A.Ş.	Bilişim ve Yazılım, Enerji Teknolojileri
OZRDN	Özerden Ambalaj Sanayi A.Ş.	Ambalaj
NIBAS	Niğbaş Niğde Beton Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
SEGYO	Şeker Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
QNBFK	QNB Finansal Kiralama A.Ş.	Finansal Kiralama
SUMAS	Sumaş Suni Tahta ve Mobilya Sanayi A.Ş.	Mobilya ve Dekorasyon, İmalat
BINBN	Bin Ulaşım ve Akıllı Şehir Teknolojileri A.Ş.	Ulaştırma
ECOGR	Ecogreen Enerji Holding A.Ş.	Kimya ve Plastik, Enerji Üretim ve Dağıtım, Enerji Teknolojileri
SUNTK	Sun Tekstil Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri
RNPOL	Rainbow Polikarbonat Sanayi Ticaret A.Ş.	Kimya ve Plastik, İmalat
ISSEN	İşbir Sentetik Dokuma Sanayi A.Ş.	Kimya ve Plastik
GLBMD	Global Menkul Değerler A.Ş.	Aracı Kurum
DERIM	Derimod Konfeksiyon Ayakkabı Deri Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
DSTKF	Destek Finans Faktoring A.Ş.	Faktoring
DOHOL	Doğan Şirketler Grubu Holding A.Ş.	Holding
SUWEN	Suwen Tekstil Sanayi Pazarlama A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
ESEN	Esenboğa Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım
EUREN	Europen Endüstri İnşaat Sanayi ve Ticaret A.Ş.	Mobilya ve Dekorasyon, İnşaat
FLAP	Flap Kongre Toplantı Hizmetleri Otomotiv ve Turizm A.Ş.	Destek ve Hizmet
FORTE	Forte Bilgi İletişim Teknolojileri ve Savunma Sanayi A.Ş.	Bilişim ve Yazılım
GIPTA	Gıpta Ofis Kırtasiye ve Promosyon Ürünleri İmalat Sanayi A.Ş.	İmalat
GSDHO	Gsd Holding A.Ş.	Holding
MAKTK	Makina Takım Endüstrisi A.Ş.	Metal Eşya ve Makine
KTLEV	Katılımevim Tasarruf Finansman A.Ş.	Tasarruf Finansman
KERVN	Kervansaray Yatırım Holding A.Ş.	Holding
LOGO	Logo Yazılım Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım
NUHCM	Nuh Çimento Sanayi A.Ş.	Taş, Toprak, Çimento
BLCYT	Bilici Yatırım Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Holding
CEOEM	Ceo Event Medya A.Ş.	Destek ve Hizmet
DGATE	Datagate Bilgisayar Malzemeleri Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
ONRYT	Onur Yüksek Teknoloji A.Ş.	Bilişim ve Yazılım, Savunma, Enerji Teknolojileri
OTKAR	Otokar Otomotiv ve Savunma Sanayi A.Ş.	Otomotiv, Savunma
PSDTC	Pergamon Status Dış Ticaret A.Ş.	Toptan ve Perakende Ticaret
TAVHL	Tav Havalimanları Holding A.Ş.	Ulaştırma
IZFAS	İzmir Fırça Sanayi ve Ticaret A.Ş.	Kimya ve Plastik, İmalat
ARMGD	Armada Gıda Ticaret Sanayi A.Ş.	Gıda ve İçecek
BEYAZ	Beyaz Filo Oto Kiralama A.Ş.	Destek ve Hizmet, Servis Taşımacılığı ve Araç Kiralama
IHYAY	İhlas Yayın Holding A.Ş.	Holding
BAGFS	Bagfaş Bandırma Gübre Fabrikaları A.Ş.	Kimya ve Plastik
BANVT	Banvit Bandırma Vitaminli Yem Sanayii A.Ş.	Gıda ve İçecek
CVKMD	CVK Maden İşletmeleri Sanayi ve Ticaret A.Ş.	Madencilik ve Taş Ocakçılığı
PINSU	Pınar Su Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
EUPWR	Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret A.Ş.	Enerji Teknolojileri
KLYPV	Kalyon Güneş Teknolojileri Üretim A.Ş.	Enerji Teknolojileri
VERUS	Verusa Holding A.Ş.	Holding
QNBTR	QNB Bank A.Ş.	Bankacılık
RAYSG	Ray Sigorta A.Ş.	Sigorta
SODSN	Sodaş Sodyum Sanayii A.Ş.	Kimya ve Plastik
ARENA	Arena Bilgisayar Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
BSOKE	Batısöke Söke Çimento Sanayii T.A.Ş.	Taş, Toprak, Çimento
BRKVY	Birikim Varlık Yönetim A.Ş	Varlık Yönetimi
PRZMA	Prizma Pres Matbaacılık Yayıncılık Sanayi ve Ticaret A.Ş.	Kağıt ve Kağıt Ürünleri
SASA	Sasa Polyester Sanayi A.Ş.	Kimya ve Plastik, İmalat
CMENT	Çimentaş İzmir Çimento Fabrikası T.A.Ş.	Taş, Toprak, Çimento
DESPC	Despec Bilgisayar Pazarlama ve Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
DOGUB	Doğusan Boru Sanayii ve Ticaret A.Ş.	İmalat
EKIZ	Ekiz Kimya Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
ELITE	Elite Naturel Organik Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
EKGYO	Emlak Konut Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
KIMMR	Ersan Alışveriş Hizmetleri ve Gıda Sanayi Ticaret A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
ESCAR	Escar Turizm Taşımacılık Ticaret A.Ş.	Servis Taşımacılığı ve Araç Kiralama
YIGIT	Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi
IHAAS	İhlas Haber Ajansı A.Ş.	Haberleşme
AKFIS	Akfen İnşaat Turizm ve Ticaret A.Ş.	İnşaat
ARTMS	Artemis Halı A.Ş	Tekstil, Giyim ve Deri
OZGYO	Özderici Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
BINHO	1000 Yatırımlar Holding A.Ş.	Holding
IZENR	İzdemir Enerji Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım
VESTL	Vestel Elektronik Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, Metal Eşya ve Makine
YKBNK	Yapı ve Kredi Bankası A.Ş.	Bankacılık
YATAS	Yataş Yatak ve Yorgan Sanayi ve Ticaret A.Ş.	Mobilya ve Dekorasyon
AKSUE	Aksu Enerji ve Ticaret A.Ş.	Enerji Üretim ve Dağıtım
ARASE	Doğu Aras Enerji Yatırımları A.Ş.	Enerji Üretim ve Dağıtım
DOKTA	Döktaş Dökümcülük Ticaret ve Sanayi A.Ş.	Otomotiv Yan Sanayi, Ana Metal, İmalat
EDIP	Edip Gayrimenkul Yatırım Sanayi ve Ticaret A.Ş.	Gayrimenkul
FORMT	Formet Metal ve Cam Sanayi A.Ş.	İmalat, Metal Eşya ve Makine
GEDZA	Gediz Ambalaj Sanayi ve Ticaret A.Ş.	İmalat, Ambalaj
GZNMI	Gezinomi Seyahat Turizm Ticaret A.Ş.	Turizm
GSDDE	Gsd Denizcilik Gayrimenkul İnşaat Sanayi ve Ticaret A.Ş.	Ulaştırma
GOKNR	Göknur Gıda Maddeleri Enerji İmalat İthalat İhracat Ticaret ve Sanayi AŞ	Gıda ve İçecek
GRSEL	GÜR-SEL Turizm Taşımacılık ve Servis Ticaret A.Ş.	Turizm, Servis Taşımacılığı ve Araç Kiralama
KLRHO	Kiler Holding A.Ş.	Holding
RTALB	RTA Laboratuvarları Biyolojik Ürünler İlaç ve Makina Sanayi Ticaret A.Ş.	İlaç ve Sağlık
BMSTL	BMS Birleşik Metal Sanayi ve Ticaret A.Ş.	Ana Metal
BUCIM	Bursa Çimento Fabrikası A.Ş.	Taş, Toprak, Çimento
BIZIM	Bizim Toptan Satış Mağazaları A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
ISYAT	İş Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
ALARK	Alarko Holding A.Ş.	Enerji Üretim ve Dağıtım, Holding
MEDTR	Meditera Tıbbi Malzeme Sanayi ve Ticaret A.Ş.	İlaç ve Sağlık
ASTOR	Astor Enerji A.Ş.	Enerji Teknolojileri
LYDHO	Lydia Holding A.Ş.	Gayrimenkul, Toptan ve Perakende Ticaret
ALFAS	Alfa Solar Enerji Sanayi ve Ticaret A.Ş.	Enerji Teknolojileri
EKOS	Ekos Teknoloji ve Elektrik A.Ş.	Enerji Teknolojileri
OBASE	Obase Bilgisayar ve Danışmanlık Hizmetleri Ticaret A.Ş.	Bilişim ve Yazılım
ORGE	Orge Enerji Elektrik Taahhüt A.Ş.	İnşaat, Enerji Teknolojileri
ORCAY	Orçay Ortaköy Çay Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
PSGYO	Pasifik Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
PCILT	PC İletişim ve Medya Hizmetleri Sanayi Ticaret A.Ş.	Destek ve Hizmet
SDTTR	SDT Uzay ve Savunma Teknolojileri A.Ş.	Savunma
AKSA	Aksa Akrilik Kimya Sanayii A.Ş.	Kimya ve Plastik, İmalat
GEDIK	Gedik Yatırım Menkul Değerler A.Ş.	Aracı Kurum
GLRMK	Gülermak Ağır Sanayi İnşaat ve Taahhüt A.Ş.	İnşaat
MACKO	Mackolik İnternet Hizmetleri Ticaret A.Ş.	Destek ve Hizmet
MARMR	Marmara Holding A.Ş.	Holding
OBAMS	Oba Makarnacılık Sanayi ve Ticaret A.Ş	Gıda ve İçecek
ALKIM	Alkim Alkali Kimya A.Ş.	Kimya ve Plastik, İmalat
BTCIM	Batıçim Batı Anadolu Çimento Sanayii A.Ş.	Taş, Toprak, Çimento
TUCLK	Tuğçelik Alüminyum ve Metal Mamülleri Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
AVGYO	Avrasya Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
CWENE	CW Enerji Mühendislik Ticaret ve Sanayi A.Ş.	Enerji Teknolojileri
CGCAM	Çağdaş Cam Sanayi ve Ticaret A.Ş.	Cam, Seramik, Porselen
ULKER	Ülker Bisküvi Sanayi A.Ş.	Gıda ve İçecek
AFYON	Afyon Çimento Sanayi T.A.Ş.	Taş, Toprak, Çimento
AGHOL	AG Anadolu Grubu Holding A.Ş.	Holding
BASCM	Baştaş Başkent Çimento Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
BLUME	Blume Metal Kimya A.Ş.	Kimya ve Plastik, İmalat
BRSAN	Borusan Birleşik Boru Fabrikaları Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
BOSSA	Bossa Ticaret ve Sanayi İşletmeleri T.A.Ş.	Tekstil, Giyim ve Deri, İmalat
BIGTK	Big Medya Teknoloji A.Ş.	Destek ve Hizmet
KARTN	Kartonsan Karton Sanayi ve Ticaret A.Ş.	Kağıt ve Kağıt Ürünleri, İmalat
KCHOL	Koç Holding A.Ş.	Holding
VERTU	Verusatürk Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
OSMEN	Osmanlı Yatırım Menkul Değerler A.Ş.	Aracı Kurum
EMKEL	Emek Elektrik Endüstrisi A.Ş.	İmalat
KATMR	Katmerciler Araç Üstü Ekipman Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi, Savunma, İmalat, Metal Eşya ve Makine
MEKAG	Meka Global Makine İmalat Sanayi ve Ticaret A.Ş.	İmalat
KLSYN	Koleksiyon Mobilya Sanayi A.Ş.	Mobilya ve Dekorasyon
KBORU	Kuzey Boru A.Ş.	Ana Metal, İmalat
KUTPO	Kütahya Porselen Sanayi A.Ş.	Cam, Seramik, Porselen
AYDEM	Aydem Yenilenebilir Enerji A.Ş.	Enerji Üretim ve Dağıtım
ATSYH	Atlantis Yatırım Holding A.Ş.	Holding
EGPRO	Ege Profil Ticaret ve Sanayi A.Ş.	Kimya ve Plastik
GENTS	Gentaş Dekoratif Yüzeyler Sanayi ve Ticaret A.Ş.	Mobilya ve Dekorasyon, İmalat
GEREL	Gersan Elektrik Ticaret ve Sanayi A.Ş.	İmalat, Metal Eşya ve Makine
ODINE	Odine Solutions Teknoloji Ticaret ve Sanayi A.Ş.	Bilişim ve Yazılım
GWIND	Galata Wind Enerji A.Ş.	Enerji Üretim ve Dağıtım
GUBRF	Gübre Fabrikaları T.A.Ş.	Kimya ve Plastik, İmalat
IEYHO	Işıklar Enerji ve Yapı Holding A.Ş.	Holding
JANTS	Jantsa Jant Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi, İmalat
KRDMB	Kardemir Karabük Demir Çelik Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
KAREL	Karel Elektronik Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım
KNFRT	Konfrut Tarım A.Ş.	Gıda ve İçecek
KONYA	Konya Çimento Sanayii A.Ş.	Taş, Toprak, Çimento
KRPLS	Koroplast Temizlik Ambalaj Ürünleri Sanayi ve Dış Ticaret A.Ş.	Ambalaj
KOPOL	Koza Polyester Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
KRSTL	Kristal Kola ve Meşrubat Sanayi Ticaret A.Ş.	Gıda ve İçecek
CIMSA	Çimsa Çimento Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
IZMDC	İzmir Demir Çelik Sanayi A.Ş.	Ana Metal, İmalat
VAKFN	Vakıf Finansal Kiralama A.Ş.	Finansal Kiralama
BORSK	Bor Şeker A.Ş.	Gıda ve İçecek
CONSE	Consus Enerji İşletmeciliği ve Hizmetleri A.Ş.	Enerji Üretim ve Dağıtım
COSMO	Cosmos Yatırım Holding A.Ş.	Holding
EUYO	Euro Menkul Kıymet Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
VANGD	Vanet Gıda Sanayi İç ve Dış Ticaret A.Ş.	Gıda ve İçecek
PAMEL	Pamukova Yenilenebilir Elektrik Üretimi A.Ş.	Enerji Üretim ve Dağıtım, İnşaat
PNSUT	Pınar Süt Mamülleri Sanayi A.Ş.	Gıda ve İçecek
POLHO	Polisan Holding A.Ş.	Kimya ve Plastik, Holding
SEKUR	Sekuro Plastik Ambalaj Sanayi A.Ş.	Kimya ve Plastik, Ambalaj
SONME	Sönmez Filament Sentetik İplik ve Elyaf Sanayi A.Ş.	Tekstil, Giyim ve Deri
EGGUB	Ege Gübre Sanayii A.Ş.	Kimya ve Plastik
ERSU	Ersu Meyve ve Gıda Sanayi A.Ş.	Gıda ve İçecek
GRNYO	Garanti Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
VAKBN	Türkiye Vakıflar Bankası T.A.O.	Bankacılık
MAKIM	Makim Makina Teknolojileri San. Tic. A.Ş	İmalat, Metal Eşya ve Makine
METRO	Metro Ticari ve Mali Yatırımlar Holding A.Ş.	Holding
OYYAT	Oyak Yatırım Menkul Değerler A.Ş.	Aracı Kurum
PAPIL	Papilon Savunma-Güvenlik Sistemleri Bilişim Mühendislik Hizmetleri İthalat İhracat Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım, Savunma
TKFEN	Tekfen Holding A.Ş.	İnşaat, Holding
AKSGY	Akiş Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
DCTTR	DCT Trading Dış Ticaret A.Ş.	Tarım, Hayvancılık, Balıkçılık
DGGYO	Doğuş Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
RYGYO	Reysaş Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
SNKRN	Senkron Güvenlik ve İletişim Sistemleri A.Ş.	Destek ve Hizmet
DERHL	Derlüks Yatırım Holding A.Ş.	Tekstil, Giyim ve Deri, İmalat
DYOBY	Dyo Boya Fabrikaları Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
EGEGY	Egeyapı Avrupa Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
ERBOS	Erbosan Erciyas Boru Sanayii ve Ticaret A.Ş.	Ana Metal, İmalat
HATEK	Hateks Hatay Tekstil İşletmeleri A.Ş.	Tekstil, Giyim ve Deri
INVEO	Inveo Yatırım Holding A.Ş.	Holding
RGYAS	Rönesans Gayrimenkul Yatırım A.Ş.	Gayrimenkul
SANKO	Sanko Pazarlama İthalat İhracat A.Ş.	Tekstil, Giyim ve Deri, Toptan ve Perakende Ticaret, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
ARSAN	Arsan Tekstil Ticaret ve Sanayi A.Ş.	Tekstil, Giyim ve Deri
BNTAS	Bantaş Bandırma Ambalaj Sanayi Ticaret A.Ş.	İmalat, Ambalaj
MTRYO	Metro Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
MOBTL	Mobiltel İletişim Hizmetleri Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
NTGAZ	Naturelgaz Sanayi ve Ticaret A.Ş.	Enerji Üretim ve Dağıtım
SAFKR	Safkar Ege Soğutmacılık Klima Soğuk Hava Tesisleri İhracat İthalat Sanayi ve Ticaret A.Ş.	İmalat, Metal Eşya ve Makine
SAMAT	Saray Matbaacılık Kağıtçılık Kırtasiyecilik Ticaret ve Sanayi A.Ş.	Kağıt ve Kağıt Ürünleri
KFEIN	Kafein Yazılım Hizmetleri Ticaret A.Ş.	Bilişim ve Yazılım
MTRKS	Matriks Finansal Teknolojiler A.Ş.	Bilişim ve Yazılım
SERNT	Seranit Granit Seramik Sanayi ve Ticaret AŞ	Cam, Seramik, Porselen
SRVGY	Servet Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
TATEN	Tatlıpınar Enerji Üretim A.Ş.	Enerji Üretim ve Dağıtım
ISBIR	İşbir Holding A.Ş.	Holding
ISCTR	Türkiye İş Bankası A.Ş.	Bankacılık
KOZAL	Türk Altın İşletmeleri A.Ş.	—
MNDRS	Menderes Tekstil Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri
HOROZ	Horoz Lojistik Kargo Hizmetleri ve Ticaret A.Ş.	Ulaştırma
KRVGD	Kervan Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
ALCAR	Alarko Carrier Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, İmalat
AYCES	Altın Yunus Çeşme Turistik Tesisler A.Ş.	Turizm
AEFES	Anadolu Efes Biracılık ve Malt Sanayii A.Ş.	Gıda ve İçecek
AVHOL	Avrupa Yatırım Holding A.Ş.	Holding
AVPGY	Avrupakent Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
BAHKM	Bahadır Kimya Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi, Kimya ve Plastik
BAKAB	Bak Ambalaj Sanayi ve Ticaret A.Ş.	Ambalaj
BALAT	Balatacılar Balatacılık Sanayi ve Ticaret A.Ş.	Otomotiv Yan Sanayi, İmalat
BYDNR	Baydöner Restoranları A.Ş.	Gıda ve İçecek
BERA	Bera Holding A.Ş.	Holding
OZKGY	Özak Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
AKGRT	Aksigorta A.Ş.	Sigorta
SOKM	Şok Marketler Ticaret A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
ALCTL	Alcatel Lucent Teletaş Telekomünikasyon A.Ş.	Haberleşme
BRKSN	Berkosan Yalıtım ve Tecrit Maddeleri Üretim ve Ticaret A.Ş.	İnşaat
LIDFA	Lider Faktoring A.Ş.	Faktoring
BESLR	Besler Gıda ve Kimya Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
BMSCH	Bms Çelik Hasır Sanayi ve Ticaret A.Ş.	Ana Metal, Metal Eşya ve Makine
BIGCH	Büyük Şefler Gıda Turizm Tekstil Danışmanlık Organizasyon Eğitim Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
BRLSM	Birleşim Mühendislik Isıtma Soğutma Havalandırma Sanayi ve Ticaret A.Ş	İnşaat, Enerji Teknolojileri
DMSAS	Demisaş Döküm Emaye Mamülleri Sanayi A.Ş.	Ana Metal, İmalat
CLEBI	Çelebi Hava Servisi A.Ş.	Ulaştırma
FADE	Fade Gıda Yatırım Sanayi Ticaret A.Ş.	Gıda ve İçecek
ALGYO	Alarko Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
CELHA	Çelik Halat ve Tel Sanayii A.Ş.	Ana Metal, İmalat
OZSUB	Özsu Balık Üretim A.Ş.	Tarım, Hayvancılık, Balıkçılık
ISMEN	İş Yatırım Menkul Değerler A.Ş.	Aracı Kurum
ARDYZ	Ard Grup Bilişim Teknolojileri A.Ş	Bilişim ve Yazılım
ATLAS	Atlas Menkul Kıymetler Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
AYEN	Ayen Enerji A.Ş.	Enerji Üretim ve Dağıtım
BARMA	Barem Ambalaj Sanayi ve Ticaret A.Ş.	Ambalaj
BIMAS	Bim Birleşik Mağazalar A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
BIOEN	Biotrend Çevre ve Enerji Yatırımları A.Ş.	Enerji Üretim ve Dağıtım
DZGYO	Deniz Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
MGROS	Migros Ticaret A.Ş.	Toptan ve Perakende Ticaret, Gıda Perakendeciliği
OYAKC	Oyak Çimento Fabrikaları A.Ş.	Taş, Toprak, Çimento
TCKRC	Kıraç Galvaniz Telekominikasyon Metal Makine İnşaat Elektrik Sanayi ve Ticaret A.Ş.	İmalat
KRGYO	Körfez Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
PEKGY	Peker Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
PKART	Plastikkart Akıllı Kart İletişim Sistemleri Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım
RYSAS	Reysaş Taşımacılık ve Lojistik Ticaret A.Ş.	Ulaştırma
MEGMT	Mega Metal Sanayi ve Ticaret A.Ş.	Ana Metal
MEPET	Mepet Metro Petrol ve Tesisleri Sanayi Ticaret A.Ş.	Turizm, Toptan ve Perakende Ticaret
MERIT	Merit Turizm Yatırım ve İşletme A.Ş.	Turizm
SELEC	Selçuk Ecza Deposu Ticaret ve Sanayi A.Ş.	İlaç ve Sağlık
EUKYO	Euro Kapital Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
GSRAY	Galatasaray Sportif Sınai ve Ticari Yatırımlar A.Ş.	Spor
HDFGS	Hedef Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
KLMSN	Klimasan Klima Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, İmalat, Metal Eşya ve Makine
KZGYO	Kuzugrup Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
USAK	Uşak Seramik Sanayi A.Ş.	Cam, Seramik, Porselen
YGYO	Yeşil Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
YONGA	Yonga Mobilya Sanayi ve Ticaret A.Ş.	Mobilya ve Dekorasyon
SEGMN	Seğmen Kardeşler Gıda Üretim ve Ambalaj Sanayi A.Ş.	Gıda ve İçecek
TKNSA	Teknosa İç ve Dış Ticaret A.Ş.	Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
AKCNS	Akçansa Çimento Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento
GOODY	Goodyear Lastikleri T.A.Ş.	Otomotiv Yan Sanayi, Kimya ve Plastik
KRDMD	Kardemir Karabük Demir Çelik Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
LIDER	LDR Turizm A.Ş.	Ulaştırma, Servis Taşımacılığı ve Araç Kiralama
LYDYE	Lydia Yeşil Enerji Kaynakları A.Ş.	Enerji Üretim ve Dağıtım
LUKSK	Lüks Kadife Ticaret ve Sanayii A.Ş.	Tekstil, Giyim ve Deri
PRKAB	Türk Prysmian Kablo ve Sistemleri A.Ş.	İmalat, Metal Eşya ve Makine
TBORG	Türk Tuborg Bira ve Malt Sanayii A.Ş.	Gıda ve İçecek
MAVI	Mavi Giyim Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri, Giyim, Tekstil ve Deri Ürünleri Perakendeciliği
SANEL	San-El Mühendislik Elektrik Taahhüt Sanayi ve Ticaret A.Ş.	İnşaat
SKTAS	Söktaş Tekstil Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri
DOAS	Doğuş Otomotiv Servis ve Ticaret A.Ş.	Otomotiv, Toptan ve Perakende Ticaret
DURKN	Durukan Şekerleme Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
DIRIT	Diriteks Diriliş Tekstil Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri
ECZYT	Eczacıbaşı Yatırım Holding Ortaklığı A.Ş.	Holding
EGEEN	Ege Endüstri ve Ticaret A.Ş.	Otomotiv Yan Sanayi
HUBVC	Hub Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
INGRM	Ingram Micro Bilişim Sistemleri A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
KRONT	Kron Teknoloji A.Ş.	Bilişim ve Yazılım, Haberleşme
OYLUM	Oylum Sınai Yatırımlar A.Ş.	Gıda ve İçecek, Holding
PNLSN	PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.	İnşaat, İmalat
ENKAI	Enka İnşaat ve Sanayi A.Ş.	İnşaat
FENER	Fenerbahçe Futbol A.Ş.	Spor
